name,dialog
Leena, Why would I lie about something like that!? Do you think I'm so cruel as to make something like that up!?
Leena," That boy... I guess I kinda liked him... If that boy were still alive today, I wonder what would've become of us?"
Leena," Sure is weird... Why am I opening up to you like this? Well, I guess there's no use thinking about the past. It's not like Serge is going to come back... Mom always tells me I shouldn't dwell on a lost loved one..."
Leena," ...... You can find his grave up on Cape Howl. Actually, why don't you go visit the grave site? No one's been up there in a while... Well, I still have some chores to finish. Sorry I blew up at you like that."
Leena, Good-bye... stranger.
Leena," You'll find the boy's grave up on Cape Howl... It'd be great if you could visit it.030 I'm sure Serge would be happy, too..."
Leena, Is that... a Komodo dragon scale!? EeeeeeeK! That's disgusting! Get that away from me!
Leena, Hmm? What is it?
Karsh," So you must be Serge... The ghost of the boy who died 10 years ago. Sorry, junior, but we have no business with your friends. We're just after you... Be a good boy and come with us."
Karsh," That doesn't matter! We found the boy here, just as 'he' said we would, didn't we?"
Karsh, Now seize him!
Kid, Hold yer sea horses!!!
Karsh, Who the...?
Karsh," Outta the way, missy! You don't wanna get hurt, now, do you?"
Kid, Shut yer trap! You're the ones who'd betta get outta the way.
Karsh, That's enough!!!
Karsh," Listen up, junior! Our orders are to take you in."
Karsh, We don't wanna hurt you. Just come with us.
Karsh, Or else... this axe o' mine will have to do the talkin'.
Girl, For cryin' out loud... Would ya just shut up and get on with it...! I'm gonna kick yer sorry arses so hard you'll kiss the moons!
Karsh," Fair enough... You leave us no choice. You'll regret this, missy!"
Solt, Sir! His innately INNATE Element color attribute is... ~~~~WHITE!~~~~
Karsh," Right! That does it...! Quick, attack him with the opposite Element attribute color... ~~~~BLACK!~~~~"
Solt," How unfortunately unfortunate! I do not seem to have any, Sir!"
Karsh, You nincompoop! You should always carry Elements of every color! Then how about you there...?
Peppor," I'm shakin' in my shoes to tell you this, Sir, but I don't have any either! We'll have to let you, Sir Karsh, show us how it's done..."
Karsh, !? Useless fools! Errh...... Real men don't need magic when they can fight with their might!
Solt, ...It's no use. There's no escape that way. All you have to do is come with us.
Peppor, Don't move!!!
Karsh, I wouldn't resist if I were you. Take a look behind you... There's nowhere to run!
Girl, Oi! ...The hell you doin'!? These blokes are tryin' to make off with ya!
Girl," Are you just gonna do as you're told!? What are you thinkin'!? Get with the program, mate! ~~~Hold on a second ~~~Alright, I'll fight"
Karsh, Maybe my axe will beat some sense into you!
Girl," Yeah, yeah... You're just all talk! Now, C'MON!"
Peppor," S-Sir Karsh! I say we shake it on outta here, so that we can live to fight another day! Th-These aren't no ordinary brats we're dealing with...!"
Karsh, Damn cowards!
Karsh," As for you, missy...! We won't forget this!"
Girl," Oooh, I'm sooo scaaared! I'll be happy to take you on, anytime! Think I'll lose to scum like you!? Hah!"
Girl," You alright, mate?"
Girl," Serge... Your name's Serge, ain't it?"
Girl, ......
Girl," Oh, me? My name's..."
Kid, Call me 'Kid.' Nice to meet ya.
Kid, I just couldn't stand by and watch those blokes gang up on you like that. They just pissed the bloody hell outta me. I wish I could've beat 'em up some more!
Kid, But why was that mob after ya?
Kid," Whaddaya mean you've never even met 'em before? Eh? Ahhh, forget it."
Kid," Hey, Serge....! How about you and me team up for a while? That Karsh fella ain't gonna just leave you alone, that's for sure!"
Kid," And to tell ya the truth, I'm new to these islands... It's pretty lonely travelin' around here on me own. Hehehe..."
Kid," So, how 'bout it, Serge? Perhaps it was fate that we would meet up like this! ~~~Travel together ~~~Refuse..."
Kid," Beauty, mate! That decides it then! We're real good mates now!"
Kid," Anyways, it'll be gettin' dark soon. I suggest we head to Arni and shack up for the night!"
Kid," Oh, and Serge. Don't go tryin' any funny stuff just coz I'm cute 'n all!"
Kid, Hang on!
Kid," Are you tellin' me, you're gonna refuse the company of a lonely, vulnerable, sweet little girl? ~~~Fine, let's go ~~~......"
Kid," You sure there, mate? You might live to regret it, ya know!? ~~~Sure, let's go ~~~No, thanks"
Kid," Sheeze! Well, have it your way, mate!"
Kid," Beauty, mate! That decides it then! We're real good mates now!"
Kid," Anyways, it'll be gettin' dark soon. I suggest we head to Arni and shack up for the night!"
Kid, And don't go tryin' any funny stuff just coz I'm cute 'n all!
Kid," Beauty, mate! That decides it, then! We're real good mates now!"
Kid," Anyways, it'll be gettin' dark soon. I suggest we head to Arni and shack up for the night!"
Kid, And don't go tryin' any funny stuff just coz I'm cute 'n all!
Kid, I'll be headin' up north to a town called Termina.
Kid," It'll be gettin' dark pretty soon. I suggest ya go find a place to shack up for the night. Don't want ya to become Heckran bait, now. Hehehe..."
Kid, Well... See ya!
Poshul, It wath terribre... They should be kind to animalth...
Kid," Is this yer grave, mate!?"
Kid, What!? You died 10 years ago?
Kid," Whatever, mate. Look at you. You're as fit as a fiddle!"
Kid," So what exactly happened to ya 10 years ago? You don't remember? ~~~No, I don't ~~~Yes, I do"
Kid," Yeah, I didn't think so. You were just a li'l squirt 10 years ago. Of course you don't remember. Oh, well... No worries, mate. It's perfectly normal."
Kid," Cheer up, eh? We'll find out what's goin' on soon enough."
Kid," No worries, mate."
Kid, You remember!? You do!? But you were just a li'l squirt 10 years ago. How can ya remember that far back?
Kid, What...? Ya had a strange dream? You say ya might end up hurtin' me!?
Kid," Git off it! Don't make me laugh! She'll be right, mate. I don't go down that easy, ya know?"
Leena, Rise and shine! A new day awaits!
Leena," Rise and shine, everyone! A new day awaits!"
Leena," I'm glad I found you here, though. Serge, right...? Kinda feels odd calling you that..."
Leena," You know... I've been thinking... Maybe you had some kind of accident and hit your head. That's why your memory's all messed up. You're really someone else, but you think you're the Serge who died 10 years ago."
Leena," I want to help you. I can't just leave you alone like this. And... You don't seem like such a bad person, either... You're planning to go to Termina, right? Then let me join you. I have some errands to run over there, anyway."
Leena," And to tell you the truth... It feels like I've always known you... Sounds strange, doesn't it?"
System, Leena joined your party!
Leena," Well, that's that! Shall we get going?"
Leena, OK! Let's head to Termina!
Poshul, PO-SHU-SHU! Full thpeed ahead!
Kid, Oi! Let's get our arses down to Termina!
Kid," Oh yeah, mate... I nearly forgot... Let me give ya this. It's a Tele-Porter. You'll be able to switch yer party members from afar. A real handy gadget. All you have to do is... Ahh, it's a pain in the arse to explain... Look it up in the Menu."
System, Serge received Tele-Porter!
System, Mojo jooined-om yoour party!
Leena," No, grandma! It's not like that at all!"
Peppor, Shake it! W-We can't just shake it on back to the manor like this... We failed in our mission!
Solt," That was awfully awful, back there, Peppor. I want a rematch!"
Peppor, B-By the way... Do you remember what kinda outfit he was shakin'?
Solt, Hmmm...
Solt," Just something justly like that, Peppor!"
Peppor," O-Oh, you remember. So he looked like that, huh?"
Solt," Actually, it is him, Peppor!"
Peppor, S-So you're sure about that?
Solt," Wonderfully wonderful timing, Peppor!"
Peppor, L-Let's shake it! W-We're really gonna shake it to you this time!!!
Solt, Come at us with all your mightily might!
Peppor, W-We're really gonna shake it to you this time!!!
Solt, Are they seriously serious about escaping?
Peppor," W-We win! Solt, how about a handshake?"
Solt," But they're still there, Peppor!"
Peppor," Then, let's shake a leg!"
Solt," This time I made sure to bring a BLACK Element with me, Peppor!"
Peppor," Good work... Well, shake it on up and attack him with it!"
Solt," Affirmatively affirmative, Peppor..."
Solt, Oh deary dear! ......?
Peppor," That was no BLACK ATTACK Element you used just now, was it!? It was a Black Element that makes your foe MORE SUSCEPTIBLE TO attacks of the opposite color attribute, WHITE, wasn't it!?"
Solt, I'm afraid you're right... How terribly terrible!
Peppor," You DID bring a WHITE ATTACK Element with you, didn't you!? If you didn't bring one with you, you're more stupid than I thought!"
Solt," Errh...... How awfully awful! I'm afraid I didn't, Peppor...!"
Solt, Retreat!!!
Peppor, L-Let's shake it on outta here!
Woman," Sorry, I'm totally out of bellflowers. There's a big ruckus down in Fossil Valley. Men from the dragoons were setting road blocks in the valley. I'll get some in a few days, so come back again then."
Woman," Oh, that's alright. I can get my flowers from other places, too. Never mind that, I haven't seen Karsh around here lately. How is he doing?"
Woman," A ghost!? Now that is something... I just hope it's not a sign of a coming disaster. If you ever see him, give him my regards."
Kid," Oi, did ya hear that? Karsh is that bastard we saw at the cape!? And that ghost he's huntin'... Ain't that you, mate? So, that Acacia Dragoon mob is behind this after all... Let's check this place out a bit more!"
Kid," Gawd, you're slow!? Ya made me wait forever. Makin' a lovely lady like......!?"
Kid, Ahaa...... So that's it.
Kid, You're walkin' a dog when ya don't even know who the hell you are?
Kid," I get it! This sheila over here is yer sweetie, eh? I'm right, ain't I? No need to be shy! I'm not so bold as to break up lovers' tender moments. I'm understandin'... I'll wait until yer little date's over."
Kid," Boy, you amaze me. Oh well, I guess it ain't such a bad idea to walk around and clear up ya mind a bit."
Kid," But geez, to go straight to the inn with a young girl... You're pretty slick for such an innocent lookin' boy! Well then, have a bloody good time...!!! Alright, all squeaky clean. It's got to be extra clean for the coming festivities."
Old Man," Master Viper... I'm here to polish your statue again!!! Have you folks come to see the Viper Festival? Termina is peaceful thanks to the watchful eye of our Master Viper. At times warm, at times strict, Master Viper watches over us always. With that said, of course the real Master Viper resides in his manor, along with his Acacia Dragoons. If you'll allow me to brag a little bit, I was invited to the manor a while back. It is a magnificent place... If there is a heaven on earth that would be it... The manor is beautiful and its design incorporates the surrounding terrain to its advantage, making it an impenetrable fortress. On top of that, there are powerful soldiers standing guard in front of the main gates that can destroy any monster with just one blow! Well, an upright citizen like myself might be invited to the manor's garden party, but not so for you folks. The most you will get is a cold reception from the gate guards. Ho ho ho!"
Kid," Alright, that's settled! We've gotta sneak into Viper Manor. You gotta find out what those Acacia Dragoons are up to, right? Why was Karsh tryin' to capture ya? I've got some business there as well, so I'll go with ya. How 'bout it, Serge? ~~~OK, let's go! ~~~No, I won't go"
Kid," It's the obvious choice, right? According to grandpa here, this Viper Manor's a bloody large place, which also means it'll be easy to break into! There's gotta be more than one way in. If we don't plan this right, it'll cost us our lives."
Kid," What're ya afraid of? Don't give me that rubbish. You're a man, aren't ya? Don't ya wanna know what happened ten years ago, and what the hell's goin' on right now? Your only clues are that Acacia Dragoon mob and their leader, that Viper bloke. Any investigation into the Dragoons has gotta start with checkin' out Viper's manor. Accordin' to grandpa here, this Viper Manor's a bloody large place. Which also means it'll be easy to break into! There's gotta be more than one way in. If we don't plan this right, it'll cost us our lives."
Kid," Alright, that's settled! We've gotta sneak into Viper Manor. You gotta find out what the Acacia Dragoons are up to, right? And why that Karsh bloke was tryin' to capture ya? I've got some business there as well, so I'll go along with ya. How 'bout it, Serge? ~~~OK, let's go! ~~~No, I won't go"
Kid," It's the obvious choice, right? According to grandpa here, this Viper Manor's a bloody big place, which also means it'll be easy to break into! There's gotta be more than one way in. If we don't plan this right, it'll cost us our lives."
Kid," What're ya afraid of? Don't give me that rubbish. You're a man, aren't ya? Don't ya wanna know what happened ten years ago, and what the hell's goin' on right now? Yer only clues are that Acacia Dragoon mob and their leader, that Viper bloke. Any investigation into the Dragoons has gotta start with checkin' out Viper's manor. Accordin' to grandpa here, this Viper Manor's a mighty large place. Which also means it'll be easy to break into! There's gotta be more than one way in. If we don't plan this right, it'll cost us our lives."
Kid," Alright, that's settled! We've gotta sneak into Viper Manor. You gotta find out what the Acacia Dragoons are up to, right? And why that Karsh bloke was tryin' to capture ya? I've got some business there as well, so I'll go along with ya. How 'bout it, Serge? ~~~OK, let's go! ~~~No, I won't go"
Kid," It's the obvious choice, right? According to grandpa here, this Viper Manor's a bloody big place, which also means it'll be easy to break into! There's gotta be more than one way in. If we don't plan this right, it'll cost us our lives."
Kid," What're you afraid of? Don't give me that rubbish. You're a man, aren't ya? Don't ya wanna know what happened ten years ago, and what the hell's goin' on right now? Yer only clues are that Acacia Dragoon mob and their leader, that Viper bloke. Any investigation into the Dragoons has gotta start with checkin' out Viper's manor. Come on Serge, let's go. ~~~OK, let's do it ~~~No, I refuse"
Kid," Gawd, don't trouble me too much, Serge. According to grandpa here, this Viper Manor's a bloody big place, which also means it'll be easy to break into! There's gotta be more than one way in. If we don't plan this right, it'll cost us our lives. ......"
Kid," Ha, so that's how you're gonna be, eh? You're gonna live the rest of yer life in the shadows as a dead man's ghost. Is that right?"
Kid," You'll regret it!!! I'm partin' ways with ya here. But, 'cause I pity ya, I'll give ya this just in case. It's a Tele-Porter. This is a really handy gadget that allows ya to exchange party members from afar. The way ya use it is... Ah, forget it. Check it out for yerself. I hate explainin' the details."
System, Serge received Tele-Porter!
Kid," Don't ya ever show that face of yers again, ya mug! See ya!!!"
Kid," Oh yeah, Serge. I'll leave this in yer hands, just in case. It's a Tele-Porter. This is a really handy gadget that allows ya to exchange party members from afar. The way ya use it is... Ah, forget it. Check it out for yerself. I hate explainin' the details. Serge received Tele-Porter!"
System, Kid joined yer party!
Kid," Alright then, call me anytime! Bob's yer uncle, eh!"
Girl," Oh, how beautiful she is..."
Korcha," Hey, you! You think this is really fun? How wouldCHA feel if you were trapped in a tank like that, being stared at everyday, huh?"
Korcha, CHA! Shut up! What customers!? You're sellin' a bunch of bull! Why didn'tCHA keep the tank uncovered when I showed up?
Korcha, Heeey everybody!!! This shop is a bunch of boloney!!!
Korcha," Heh, I won't take that from a sleaze-bag like you!"
Korcha," Hey, you guys. You're not from around here, eh? Don'tCHA wander around too much, or you're gonna get burned. Just watch your back."
Poshul, PO-SHU!
Leena," Hey, Poshul!!! Stop that!"
Poshul, PO-SHU-SHU...! You've rucked out for today!!!
System, Guile enigmatically joined your party!
Kid," Hey, Serge, that's nothin' but rubbish. Let's hurry up and get movin'."
Kid," Sorry, mum. I don't believe in fortune-tellin' at all. I make way for me own future by meself."
Kid," Ha, I don't give a damn. Let's go Serge."
System, ~~~Give it for free ~~~Ask for money ~~~Sorry
Glenn," Yes... I have engraved in my memory the lives of my father and brother, who had wielded the sacred sword Einlanzer."
Glenn," What do you mean by that? Miss Riddel, I cannot allow even you to..."
Riddel," Do you not think there is something odd about the dragoons of late...? Daddy's face shows such anguish, and even Karsh was saying he was sent on a 'ghost-hunt'..."
Glenn, Miss Riddel...
Riddel," Everyone has been acting oddly, ever since that beastly guest arrived at the manor."
Glenn, ......
Riddel," Glenn, promise me to always keep the unclouded truth in sight. Do not be swayed by the masses. The splendor of the Einlanzer must not be tarnished..."
Glenn, ...As you wish.
Riddel, Chuckle...
Glenn, ...?
Riddel," Oh, forgive me. I just found it a little awkward to hear you say such words... Chuckle..."
Glenn," ...... Miss Riddel, a chill wind has risen. Shall we return to the manor?"
Riddel, Yes... Of course.
Korcha, ...and that guy rushed and hid it as soon as I got there. It was a hilarious sight!
Korcha," Oops, I've got customers. Sorry, I'll getCHA some BIG fish next time you come by."
Korcha," Aw, shawdup!"
